"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"null","","audio-keyboard-response","222","620351","0.0-4.0-2.72-0.72","MT-AIXTI8PKSX1D2","","","snd/to.wav","null",""
"904","","html-keyboard-response","223","621256","0.0-4.0-2.72-1.72","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"2067","","survey-text","224","623326","0.0-4.0-3.18","MT-AIXTI8PKSX1D2","","{""Q0"":""none""}","","",""
"1352","","audio-keyboard-response","225","624673","0.0-4.0-4.18","MT-AIXTI8PKSX1D2","","","snd/to.wav","52","typicality"
"null","","html-keyboard-response","226","625702","0.0-4.0-0.19","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","227","625952","0.0-4.0-1.19","MT-AIXTI8PKSX1D2","","","snd/pe2_1.wav","null",""
"null","","audio-keyboard-response","228","626731","0.0-4.0-2.73-0.73","MT-AIXTI8PKSX1D2","","","snd/pe2_1.wav","null",""
"1478","","html-keyboard-response","229","628210","0.0-4.0-2.73-1.73","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"6150","","survey-text","230","634364","0.0-4.0-3.19","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"6960","","audio-keyboard-response","231","641329","0.0-4.0-4.19","MT-AIXTI8PKSX1D2","","","snd/pe2_1.wav","52","typicality"
"null","","html-keyboard-response","232","642331","0.0-4.0-0.20","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","233","642582","0.0-4.0-1.20","MT-AIXTI8PKSX1D2","","","snd/fu.wav","null",""
"null","","audio-keyboard-response","234","643332","0.0-4.0-2.74-0.74","MT-AIXTI8PKSX1D2","","","snd/fu.wav","null",""
"1357","","html-keyboard-response","235","644689","0.0-4.0-2.74-1.74","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","236","644931","0.0-4.0-2.75-0.75","MT-AIXTI8PKSX1D2","","","snd/fu.wav","null",""
"1363","","html-keyboard-response","237","646296","0.0-4.0-2.75-1.75","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","238","646540","0.0-4.0-2.76-0.76","MT-AIXTI8PKSX1D2","","","snd/fu.wav","null",""
"403","","html-keyboard-response","239","646944","0.0-4.0-2.76-1.76","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","240","647194","0.0-4.0-2.77-0.77","MT-AIXTI8PKSX1D2","","","snd/fu.wav","null",""
"821","","html-keyboard-response","241","648016","0.0-4.0-2.77-1.77","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","242","648254","0.0-4.0-2.78-0.78","MT-AIXTI8PKSX1D2","","","snd/fu.wav","null",""
"1593","","html-keyboard-response","243","649848","0.0-4.0-2.78-1.78","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"3717","","survey-text","244","653572","0.0-4.0-3.20","MT-AIXTI8PKSX1D2","","{""Q0"":""one""}","","",""
"1880","","audio-keyboard-response","245","655449","0.0-4.0-4.20","MT-AIXTI8PKSX1D2","","","snd/fu.wav","52","typicality"
"null","","html-keyboard-response","246","656452","0.0-4.0-0.21","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","247","656704","0.0-4.0-1.21","MT-AIXTI8PKSX1D2","","","snd/si1_0.wav","null",""
"null","","audio-keyboard-response","248","657453","0.0-4.0-2.79-0.79","MT-AIXTI8PKSX1D2","","","snd/si1_0.wav","null",""
"1634","","html-keyboard-response","249","659087","0.0-4.0-2.79-1.79","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5550","","survey-text","250","664637","0.0-4.0-3.21","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"1341","","audio-keyboard-response","251","665985","0.0-4.0-4.21","MT-AIXTI8PKSX1D2","","","snd/si1_0.wav","54","typicality"
